timestamp|||text|||length|||has_url|||has_doi|||type
2025-10-28 17:29:23|||Bardach, S., Perry, A., Powell, L., Kapadia, N., & Barnato, A. (2022). Hurdles of innovation-insights from a new healthcare delivery innovation program. Learning health systems, 7(3), e10353. https://...|||203|||True|||False|||webpage
2025-10-28 17:29:38|||Bardach, S., Perry, A., Powell, L., Kapadia, N., & Barnato, A. (2022). Hurdles of innovation-insights from a new healthcare delivery innovation program. Learning health systems, 7(3), e10353. https://...|||203|||True|||False|||webpage
2025-10-28 18:47:40|||Canelo, P. V. (2001). La legitimación del Proceso de Reorganización Nacional y la construcción de la amenaza en el discurso militar. Argentina, 1976-1981. _Sociohistórica_, (9-10), 103-134. https://ww...|||203|||True|||False|||webpage
2025-10-28 19:03:29|||Canelo, P. V. (2001). La legitimación del Proceso de Reorganización Nacional y la construcción de la amenaza en el discurso militar. Argentina, 1976-1981. _Sociohistórica_, (9-10), 103-134. https://ww...|||203|||True|||False|||webpage
2025-10-28 19:03:54|||Grudemi, E. (2018). _Última dictadura militar argentina_. Enciclopedia Iberoamericana. Última edición: abril 2024. https://enciclopediaiberoamericana.com/ultima-dictadura-militar-argentina/.|||190|||True|||False|||webpage
2025-10-28 19:04:07|||Grudemi, E. (2018). _Última dictadura militar argentina_. Enciclopedia Iberoamericana. Última edición: abril 2024. https://enciclopediaiberoamericana.com/ultima-dictadura-militar-argentina/.|||190|||True|||False|||webpage
2025-10-28 19:06:47|||Grudemi, E. (2018, abril). _Última dictadura militar argentina_. Enciclopedia Iberoamericana. https://enciclopediaiberoamericana.com/ultima-dictadura-militar-argentina/|||168|||True|||False|||webpage
2025-10-29 00:46:54|||Abdul-Jaleel, S. (2016). Influence of leadership for learning programme on headteachers’ performance in the central region of Ghana. Journal of Educational Development and Practice, 7(2), 129-143....|||199|||False|||False|||other
2025-10-29 00:47:33|||Abraczinskas, M., Kornbluh, M., Golden, A., Glende, J., Velez, V., Vines, E., & Ozer, E. (2022). Preventing bullying and improving school climate through integrating youth participatory action researc...|||203|||False|||False|||other
2025-10-29 00:54:04|||Cuca, Y. P., Shumway, M., Machtinger, E. L., Davis, K., Khanna, N., Cocohoba, J., & Dawson-Rose, C. (2019). The association of trauma with the physical, behavioral, and social health of women living w...|||203|||False|||False|||other
2025-10-29 17:22:52|||he New York Times Editorial Board. (2023, October 10). The economic trends we can't ignore. _The New York Times_. https://www.nytimes.com/example-article2...|||157|||True|||False|||webpage
2025-10-29 20:14:49|||Dada...|||7|||False|||False|||other
2025-10-29 20:15:47|||garbage test blah...|||20|||False|||False|||other
2025-10-29 20:17:17|||asdasd...|||9|||False|||False|||other
2025-10-29 20:17:34|||American Heart Association. (2023, October 1). New guidelines for heart health released. American Heart Association. https://www.heart.org/new-guidelines...|||156|||True|||False|||webpage
2025-10-29 20:17:46|||American Heart Association. https://www.heart.org/new-guidelines (2023, October 1). New guidelines for heart health released. American Heart Association....|||156|||True|||False|||webpage
2025-10-29 20:20:16|||blah blah garbage test...|||25|||False|||False|||other
2025-10-29 20:20:21|||smith, j (2023) research methods academic press...|||50|||False|||False|||other
2025-10-30 06:02:20|||Andreessen, C. S., Billieux, J., Griffiths, M. D., Kuss, D. J., Demetrovics, Z., Mazzoni, E., & Pallesen, S. (2016). The relationship between addictive use of social media and video games and symptoms...|||203|||False|||False|||other
2025-10-30 06:03:18|||·         Andreessen, C. S., Billieux, J., Griffiths, M. D., Kuss, D. J., Demetrovics, Z., Mazzoni, E., & Pallesen, S. (2016). The relationship between addictive use of social media and video games an...|||203|||False|||False|||other
2025-10-30 06:06:32|||Anderson, C. A., & Bushman, B. J. (2002). Human aggression. Annual Review of Psychology, 53(1), 27–51....|||105|||False|||False|||other
2025-10-30 08:26:48|||Andersson, S., Carlbring, P., Lyon, K., Bermell, M., & Lindner, P. (2025). Insights into the temporal dynamics of identifying problem gambling on an online casino: A machine learning study on routinel...|||203|||False|||False|||other
2025-10-30 08:28:07|||Andersson, S., Carlbring, P., Lyon, K., Bermell, M., & Lindner, P. (2025). Insights into the temporal dynamics of identifying problem gambling on an online casino: A machine learning study on routinel...|||203|||False|||False|||other
2025-10-30 08:32:27|||Andersson, S., Carlbring, P., Lyon, K., Bermell, M., & Lindner, P. (2025). Insights into the temporal dynamics of identifying problem gambling on an online casino: A machine learning study on routinel...|||203|||False|||False|||other
2025-10-30 11:44:52|||dasdadsad...|||12|||False|||False|||other
2025-10-30 13:59:41|||Chamorro-Premuzic, T. (2017, September-October). Could your personality derail your career? _Harvard Business Review_, _95_(5), 86–91.|||134|||False|||False|||other
2025-10-30 14:03:12|||Judge, T. A., & Bono, J. E. (2001). Relationship of core self-evaluations traits—self-esteem, generalized self-efficacy, locus of control, and emotional stability—with job satisfaction and job perform...|||203|||False|||False|||other
2025-10-30 14:04:33|||Chamorro-Premuzic, T. (2017, September-October). Could your personality derail your career? _Harvard Business Review_, _95_(5), 86–91.|||134|||False|||False|||other
2025-10-30 16:14:46|||Capability framework: Teaching Aboriginal and Torres Strait Islander EAL/D learners Department of Education, Training and Employment (Qld) 2013, Capability Framework: Teaching Aboriginal and Torres St...|||203|||False|||False|||other
2025-10-30 16:18:40|||Department of Education, Training and Employment (Qld). (2013). _Capability Framework: Teaching Aboriginal and Torres Strait Islander EAL/D learners_. education.qld.gov.au. https://education.qld.gov.a...|||203|||True|||False|||government_document
2025-10-30 16:20:34|||ACARA. (2014, February). _English as an Additional Language or Dialect Teacher Resource: EAL/D overview and advice_. https://docs.acara.edu.au/resources/EALD_Overview_and_Advice_revised_February_2014....|||203|||True|||False|||webpage
2025-10-30 16:25:59|||ACARA. (2014, February). _English as an Additional Language or Dialect Teacher Resource: EAL/D overview and advice_. https://docs.acara.edu.au/resources/EALD_Overview_and_Advice_revised_February_2014....|||203|||True|||False|||webpage
2025-10-30 16:27:13|||ACARA. (2014, February). _English as an Additional Language or Dialect Teacher Resource: EAL/D overview and advice_. https://docs.acara.edu.au/resources/EALD_Overview_and_Advice_revised_February_2014....|||203|||True|||False|||webpage
2025-10-30 16:27:46|||ACARA. (2014, February). _English as an Additional Language or Dialect Teacher Resource: EAL/D overview and advice_. https://docs.acara.edu.au/resources/EALD_Overview_and_Advice_revised_February_2014....|||203|||True|||False|||webpage
